 云南省妇联第十一届,2017.3,云南省,云南省妇联,-1
 西藏自治区那曲地区公安处干警,1977.05-1984.08,西藏自治区,-1,干警
 不再担任5。,2011.12,-1,-1,-1
 拟推荐为省辖市中级人民法院院长人选。6,2012.5,-1,-1,院长
 在昭通警校读书；,1985.09-1987.07,昭通市,昭通警校,-1
 江苏省司法厅办公室,1984.07-1986.09,江苏省,江苏省司法厅办公室,-1
——,2017.02,-1,-1,-1
 延寿县东风商场经理,1987.04-1990.12,延寿县,-1,经理
1-2,,-1,-1,-1
 青海省民和回族土族自治县知青,1974.03-1975.06,青海省,-1,知青
--,2017.08,-1,-1,-1
毕业于安徽农学院林学系,1960.6,安徽省,安徽农学院林学系,-1
 年享受国务院特殊津贴。,1992,-1,国务院,-1
 年被国家教委授予“巾帼建功标兵”光荣称号。,1995,-1,国家教委,-1
同济大学,2002.6,-1,同济大学,-1
上海交通大学,2002.6,上海市,上海交通大学,-1
扬州大学等,2002.6,扬州市,扬州大学,-1
3-6,,-1,-1,-1
 黑龙江大学夜大法律系法律专业学习,1981.10-1984.10,黑龙江省,-1,学习
 黑龙江大学夜大法律系法律专业学习；,1989.9-1991.7,黑龙江省,-1,学习
 加入中国共产党。,1984.6,-1,中国共产党,-1
始,2006.11,-1,-1,-1
 在安徽大学法律系读本科,1983.9-1987.7,安徽省,安徽大学法律系,-1
 攻读民法研究生,1987.9-1990.7,-1,-1,研究生
 起任该事务所分管业务的副主任；,1992.12,-1,-1,副主任
年经考试,1991,-1,-1,-1
 取得国家科委颁发的技术合同仲裁员资格；,1991,-1,国家科委,-1
 取得从事证券法律业务资格；,1993,-1,-1,-1
证券法律；,1997.11,美国,-1,-1
 年获全国“十佳律师”提名；,1999,-1,-1,律师
 当选安徽省首届“十佳律师”；,2000.8,安徽省,-1,律师
 当选“安徽省十大杰出青年”；,2001.1,安徽省,-1,-1
 受司法部和国家外专局委派在美国加尼福利亚大学进行“WTO争端解决机制”法律培训；,2001.11,-1,司法部,-1
 荣获首届安徽省十位优秀中青年法学,2008.2,安徽省,-1,-1
法律专家之法律专家称号；,2008.2,安徽省,-1,-1
 被聘为芜湖市人民政府法律顾问；,2010.10,芜湖市,-1,法律顾问
 被聘为合肥市人民政府法律顾问；,2011.3,合肥市,-1,法律顾问
 东北林业大学推广硕士,2001-2005,绥化市北林区,东北林业大学,-1
 获林学博士学位,2005-2011,北京市,-1,-1
 大兴安岭地区行署办正科级秘书；,1993.04-1997.05,大兴安岭,-1,秘书
助检员,1982,-1,-1,-1
年调入最高人民检察院,1988,-1,最高人民检察院,-1
副主编,1988,-1,-1,-1
主编,1988,-1,-1,-1
 曾先后担任山东省高级人民法院院法警,1977,山东省,山东省高级人民法院院法警,-1
起,1999.4,-1,-1,-1
 -,2009.6,-1,-1,-1
 获江西农业大学农业推广硕士,2007.12,江西省,江西农业大学,-1
 待分配；,1998.07-1998.10,-1,-1,-1
——,2014.01,-1,-1,-1
 4,2017.2,淄博市,-1,-1
年,2012,-1,-1,-1
获管理学硕士学位,2003.09-2006.06,-1,-1,-1
年,1980-1984,-1,-1,-1
年,1995-1997,-1,-1,-1
年,1995-1997,-1,-1,-1
年,2001-2002,-1,-1,-1
年,1976-1978,-1,-1,-1
 沈阳市蔬菜农场知青,1976-1978,沈阳市,-1,知青
年,1978-1980,-1,-1,-1
年,1980-1984,-1,-1,-1
年,1984-1985,-1,-1,-1
年,1985-1986,-1,-1,-1
年,1986-1988,-1,-1,-1
年,1988-1990,-1,-1,-1
年,1990-1994,-1,-1,-1
年,1994-1998,-1,-1,-1
年,1998-1999,-1,-1,-1
年,1999-2000,-1,-1,-1
年,2000-2000,-1,-1,-1
年,2000-2006,-1,-1,-1
年,2006-2007,-1,-1,-1
年,2007-2016,-1,-1,-1
 在河北省正定县人民检察院实习,1982.08-1983.08,河北省,河北省正定县人民检察院,-1
 在河北省正定县人民检察院实习；,1982.08-1983.08,河北省,河北省正定县人民检察院,-1
年,1985.-2004,-1,-1,-1
 历任北京市丰台区人民书记员,1985.-2004,北京市,-1,书记
助理审判员,1985.-2004,北京市,-1,助理审判员
审判员,1985.-2004,北京市,-1,审判员
庭长,1985.-2004,北京市,-1,庭长
办公室主任,1985.-2004,北京市,-1,主任
副院长,1985.-2004,北京市,-1,副院长
年,2004.-2006,-1,-1,-1
年,2008.-2011,-1,-1,-1
年,2011.-2013,-1,-1,-1
年,2013.-2016,-1,-1,-1
 参加省委组织部举办赴美国第二期中美研修班,2003.10-2003.11,美国,省委组织部,-1
 参加省委组织部举办赴加拿大中长期培训,2005.05-2005.07,加拿大,省委组织部,-1
—,2016.04,-1,-1,-1
——,2008.01,-1,-1,-1
 获理学学士学位,1978.10-1982.07,-1,-1,-1
 评为副研究员,2000.09,-1,-1,副研究员
期中青年干部培训班学习,2010.03-2010.07,-1,-1,干部
 驻新西兰使馆一秘,1998.03-2000.10,-1,驻新西兰使馆,-1
生产调度,1976.12-1979.11,-1,-1,-1
 郫县团委,1979.11-1983.07,-1,郫县团委,-1
县委办,1979.11-1983.07,-1,县委办,-1
 白刚被免去常委及部长职务。,2015.12,-1,-1,部长
技师,1984.07-1988.02,-1,技师,-1
 抽调到重庆市委组织部,1996.12-1997.10,重庆市,重庆市委组织部,-1
 主持机关党委工作,1999.07,-1,-1,工作
 共青团重庆市委研究室,1991.07-1998.03,重庆市,共青团重庆市委研究室,-1
希望工程促进会,1991.07-1998.03,重庆市,希望工程促进会,-1
办公室,1991.07-1998.03,重庆市,-1,-1
——,2010.01,-1,-1,-1
——,2015.02,-1,-1,-1
 年改名为首都儿科研究所,1983,-1,首都儿科研究所,-1
 儿童肺炎防治研究及儿童流行性喘憋性肺炎的研究全国儿童哮喘,1964.8,武汉市,-1,-1
母乳喂养,1964.8,武汉市,-1,-1
ORS,1964.8,武汉市,ORS,-1
低出生体重,1964.8,武汉市,-1,-1
维生素A,1964.8,武汉市,-1,-1
K缺乏,1964.8,武汉市,-1,-1
育龄妇女及儿童贫血等多项流行病学调查。曾在中国农村儿童肺炎监测及防治研究,1964.8,中国,-1,-1
 次口服预防效果评价”,2002,-1,-1,-1
“中国儿童维生素A缺乏情况及预防措施”,2002,中国,-1,-1
“,2002,中国,-1,-1
 年北京城区儿童哮喘患病情况调查分析”,2000,北京市,-1,-1
“,2000,北京市,-1,-1
 年中国婴儿辅食添加情况的调查分析”,2000,中国,-1,-1
“,2000,中国,-1,-1
 年中国低出生体重发生率的分布特点及影响因素”,1998,中国,-1,-1
